,Code,Year,Value,Value (TWh)
7001,IRQ,2017-01-01,46.645,542.48135
7002,IRQ,2018-01-01,52.786,613.9011800000001
7003,IRQ,2019-01-01,56.385,655.75755
7004,IRQ,2020-01-01,45.653,530.94439
7005,IRQ,2021-01-01,0.0,0.0
7006,JAM,1960-01-01,0.0,0.0
7007,JAM,1961-01-01,0.0,0.0
7008,JAM,1962-01-01,0.0,0.0
7009,JAM,1963-01-01,0.0,0.0
7010,JAM,1964-01-01,0.0,0.0
7011,JAM,1965-01-01,0.0,0.0
7012,JAM,1966-01-01,0.0,0.0
7013,JAM,1967-01-01,0.0,0.0
7014,JAM,1968-01-01,0.0,0.0
7015,JAM,1969-01-01,0.0,0.0
7016,JAM,1970-01-01,0.0,0.0
7017,JAM,1971-01-01,2.823,32.83149
7018,JAM,1972-01-01,3.178,36.96014
7019,JAM,1973-01-01,3.304,38.42552
7020,JAM,1974-01-01,3.02,35.122600000000006
7021,JAM,1975-01-01,2.565,29.83095
7022,JAM,1976-01-01,2.302,26.772260000000003
7023,JAM,1977-01-01,2.446,28.446980000000003
7024,JAM,1978-01-01,2.505,29.13315
7025,JAM,1979-01-01,2.441,28.38883
7026,JAM,1980-01-01,2.301,26.760630000000003
7027,JAM,1981-01-01,2.303,26.78389
7028,JAM,1982-01-01,2.452,28.51676
7029,JAM,1983-01-01,2.015,23.434450000000002
7030,JAM,1984-01-01,1.914,22.25982
7031,JAM,1985-01-01,1.636,19.02668
7032,JAM,1986-01-01,1.637,19.038310000000003
7033,JAM,1987-01-01,1.795,20.87585
7034,JAM,1988-01-01,1.801,20.94563
7035,JAM,1989-01-01,2.265,26.341950000000004
7036,JAM,1990-01-01,2.615,30.412450000000003
7037,JAM,1991-01-01,2.621,30.48223
7038,JAM,1992-01-01,2.764,32.14532
7039,JAM,1993-01-01,2.77,32.2151
7040,JAM,1994-01-01,2.824,32.84312
7041,JAM,1995-01-01,3.009,34.99467
7042,JAM,1996-01-01,3.174,36.91362
7043,JAM,1997-01-01,3.169,36.855470000000004
7044,JAM,1998-01-01,3.306,38.448780000000006
7045,JAM,1999-01-01,3.39,39.425700000000006
7046,JAM,2000-01-01,3.493,40.62359
7047,JAM,2001-01-01,3.563,41.43769
7048,JAM,2002-01-01,3.41,39.658300000000004
7049,JAM,2003-01-01,3.559,41.39117
7050,JAM,2004-01-01,3.578,41.612140000000004
7051,JAM,2005-01-01,3.503,40.73989
7052,JAM,2006-01-01,3.973,46.20599
7053,JAM,2007-01-01,4.015,46.694449999999996
7054,JAM,2008-01-01,3.211,37.34393
7055,JAM,2009-01-01,2.584,30.051920000000003
7056,JAM,2010-01-01,2.407,27.99341
7057,JAM,2011-01-01,2.55,29.6565
7058,JAM,2012-01-01,2.464,28.65632
7059,JAM,2013-01-01,2.589,30.11007
7060,JAM,2014-01-01,2.522,29.33086
7061,JAM,2015-01-01,2.532,29.447160000000004
7062,JAM,2016-01-01,2.807,32.64541
7063,JAM,2017-01-01,2.59,30.1217
7064,JAM,2018-01-01,2.91,33.843300000000006
7065,JAM,2019-01-01,3.037,35.32031
7066,JAM,2020-01-01,2.233,25.969790000000003
7067,JAM,2021-01-01,0.0,0.0
7068,JOR,1960-01-01,0.0,0.0
7069,JOR,1961-01-01,0.0,0.0
7070,JOR,1962-01-01,0.0,0.0
7071,JOR,1963-01-01,0.0,0.0
7072,JOR,1964-01-01,0.0,0.0
7073,JOR,1965-01-01,0.0,0.0
7074,JOR,1966-01-01,0.0,0.0
7075,JOR,1967-01-01,0.0,0.0
7076,JOR,1968-01-01,0.0,0.0
7077,JOR,1969-01-01,0.0,0.0
7078,JOR,1970-01-01,0.0,0.0
7079,JOR,1971-01-01,0.492,5.72196
7080,JOR,1972-01-01,0.54,6.280200000000001
